@relation Lov_dataset

@attribute alchemy_taxonomies string
@attribute alchemy_taxonomies2 string
@attribute alchemy_taxonomies3 string
@attribute alchemy_concepts string
@attribute alchemy_concepts2 string
@attribute alchemy_concepts3 string
@attribute lov_category {'Archives, Catalogs, Classification systems','Methods and Protocols, Units, Measures',Protocols,Quality,Metadata,'RDF Data','Support vocabularies','Vocabularies, Languages and Terminologies',Geography,People,'Social organization','Timeline, Calendar','General and Upper Ontologies','Semantic Publishing and Referencing Ontologies','FRBR, RDA, FRAD and related vocabularies','Life Sciences',Multimedia,Events,Geometry,'The Academy','Tagging vocabularies','W3C Recommendations',E-Business,Industry,Food,'Press and News',PLM,'Music and Sound',Contracts,Services,'Social Semantic Desktop','Sustainability and environmental management',Security,'The Government','PROTON Ontologies','Image and Video',Travel,Recommandations,Health,'CSV Data',Games}

@data
'/technology and computing/hardware/computer components/chips and processors','/business and industrial/business operations/business plans','/technology and computing/software/desktop publishing',Sociology,'','',Multimedia
/science/mathematics/statistics,'/science/computer science/artificial intelligence','/technology and computing/software/databases','','','','Methods and Protocols, Units, Measures'
'/business and industrial/manufacturing',/shopping/retail,'/business and industrial',Interoperability,'','',Multimedia
'/education/english as a second language','/technology and computing/software/databases','/hobbies and interests/reading',Website,'World Wide Web',XML,'W3C Recommendations'
'/technology and computing/software/databases','/technology and computing','/business and industrial','Semantic Web',Object,Semantics,Multimedia
'/technology and computing/internet technology/web design and html','/technology and computing/programming languages/javascript','/art and entertainment/visual art and design/architecture','No Doubt',TheStart,'World Wide Web Consortium',Metadata
'/technology and computing/software/databases','/art and entertainment/books and literature','',Semantics,'Library catalog',Citation,'Semantic Publishing and Referencing Ontologies'
'/business and industrial/energy/renewable energy/geothermal energy','/science/social science/linguistics','/art and entertainment/visual art and design/design',Design,'Software design','Graphic design','Vocabularies, Languages and Terminologies'
'/technology and computing/software/databases','/technology and computing/programming languages/java','/law, govt and politics',Object,Ontology,'','The Academy'
'/education/english as a second language','/hobbies and interests/reading','/education/teaching and classroom resources/lesson plans','Legal person','','',People
/science/biology,'/technology and computing/internet technology/social network','/technology and computing/networking/network monitoring and management','Network diagram',WordNet,'','Life Sciences'
'/technology and computing/software/databases',/science/mathematics/statistics,'','Data set','','','Archives, Catalogs, Classification systems'
'/technology and computing/programming languages/java','/technology and computing','/business and industrial/company/joint venture','GNU Lesser General Public License','','','Life Sciences'
'/technology and computing/software/databases','/technology and computing/software/graphics software','/technology and computing/programming languages/c and c++','Comma-separated values','','','CSV Data'
/society/work/unemployment,'','','','','','Vocabularies, Languages and Terminologies'
'/health and fitness/nutrition','/law, govt and politics/government/government agencies','/health and fitness','The Core','','','FRBR, RDA, FRAD and related vocabularies'
'/health and fitness/nutrition','/art and entertainment/visual art and design/design','/technology and computing/enterprise technology/data management',Group,'Periodic table','','FRBR, RDA, FRAD and related vocabularies'
'/technology and computing/software/databases','/education/english as a second language','/education/homework and study tips','','','',Protocols
'/technology and computing/hardware/computer components/chips and processors','/art and entertainment/books and literature','/education/homework and study tips',Organization,Structure,'','W3C Recommendations'
'/technology and computing/software/databases','/finance/personal finance/insurance','/technology and computing/programming languages/java','World Wide Web','Formal methods','Data modeling',Quality
'/technology and computing/computer certification','','',Agent,'','',Quality
'/technology and computing/internet technology/ecommerce','/technology and computing/enterprise technology/customer relationship management','/finance/investing/futures trading','Semantic Web','Web applications',Reference,E-Business
'/art and entertainment/visual art and design/design','/finance/accounting and auditing','/technology and computing/software',Standardization,'Technical communication','','Methods and Protocols, Units, Measures'
'/technology and computing/computer security/network security','/technology and computing/computer security','/business and industrial','The Domain, Sydney','Mobile computing',Internet,Security
'/art and entertainment/music','/finance/personal finance/insurance/life insurance','/art and entertainment/music/recording industry/record labels','Measure word','','','Vocabularies, Languages and Terminologies'
'/art and entertainment/visual art and design/design/graphic design','/technology and computing/software/databases','/business and industrial/business operations/business plans',BBC,'Creative work','Digital rights management','Archives, Catalogs, Classification systems'
'/law, govt and politics/legal issues/civl rights/privacy','/technology and computing/software/databases','/technology and computing',Preference,'','',Protocols
'/education/english as a second language','/education/homework and study tips','/education/teaching and classroom resources/lesson plans','Crisis management','Emergency management',Committee,'Sustainability and environmental management'
'/art and entertainment/visual art and design','/technology and computing/software/databases','/art and entertainment/visual art and design/design','Semantic Web','Web Ontology Language','Resource Description Framework','Archives, Catalogs, Classification systems'
'/technology and computing/data centers','/education/school/private school','/technology and computing/software/net conferencing',Concept,Ontology,'Semantic Web','Tagging vocabularies'
/sports/baseball,'/law, govt and politics/government','/technology and computing','Breed Groups','','','Methods and Protocols, Units, Measures'
'/technology and computing/technical support','/business and industrial/business operations/management/business process','/business and industrial/biomedical',Being,Ontology,Object,'Support vocabularies'
/pets/birds,'/technology and computing/programming languages/javascript','/technology and computing/consumer electronics/camera and photo equipment/cameras and camcorders/camera bags',Set,Mathematics,'The Work','Support vocabularies'
'/business and industrial/business operations/management/project management','/religion and spirituality/islam/islamic fundamentalism','/art and entertainment/visual art and design/art and craft supplies',Internet,Project,'Mailing list','Life Sciences'
'/science/computer science','/technology and computing/programming languages/java','/technology and computing/internet technology/web search','Computer graphics','Computer science','Computational science','Archives, Catalogs, Classification systems'
'/art and entertainment/visual art and design',/science/mathematics/geometry,'/technology and computing/programming languages/javascript','','','','Support vocabularies'
/society/work/retirement,'/technology and computing/operating systems','/technology and computing/hardware/computer','Web Ontology Language','Operating system','Computer graphics',Quality
/science/geography/topography,'/society/social institution/marriage','/technology and computing/hardware/computer components/chips and processors','Ordnance Survey','','',Geography
'/law, govt and politics/government','/law, govt and politics/government/state and local government','','British Empire',Europe,'','The Government'
'/technology and computing/software/databases','/technology and computing/programming languages/java','','','','','RDF Data'
'/technology and computing/operating systems','/health and fitness/disease/epilepsy','/art and entertainment/books and literature',Semantics,'Das Model','','Timeline, Calendar'
'/technology and computing/software','/technology and computing/software/databases','/technology and computing/hardware',Metaphysics,'','','PROTON Ontologies'
'/style and fashion/beauty/hair care','/technology and computing/programming languages/c and c++','/technology and computing/internet technology/email',Library,'','','Vocabularies, Languages and Terminologies'
'/health and fitness/drugs','/business and industrial/business operations/human resources','/business and industrial','Information architecture','','','Support vocabularies'
'/business and industrial/business operations/management/business process','','','','','','Semantic Publishing and Referencing Ontologies'
'/business and industrial/biomedical','/science/social science/linguistics','/technology and computing/software/databases',Grammar,Lexicon,'','Vocabularies, Languages and Terminologies'
'/technology and computing/programming languages/javascript','/technology and computing/programming languages/java','/technology and computing/software/databases',Concept,Statistics,'',Quality
'/technology and computing/software/databases','/technology and computing/programming languages/javascript','/technology and computing/software/graphics software/animation','Web server',XForms,'',Protocols
'/law, govt and politics/government','/finance/personal finance/lending/student loans','/finance/personal finance/lending/credit cards',Borg,'','',Contracts
'/education/english as a second language','/hobbies and interests/reading','/technology and computing/software/databases',Cartography,'','',Geography
'/technology and computing/software/databases','/hobbies and interests/reading',/society,'','','','RDF Data'
'/law, govt and politics/law enforcement','/science/social science/linguistics/translation','/art and entertainment/books and literature','Library catalog',Authority,'Problem solving','Archives, Catalogs, Classification systems'
'/technology and computing/internet technology/web design and html','/technology and computing/internet technology/web search','/technology and computing/internet technology/ecommerce','','','',People
'/technology and computing/software/databases','/technology and computing/hardware/computer components/chips and processors','/technology and computing/programming languages/java',Ontology,WordNet,'','Life Sciences'
'/travel/tourist destinations/australia and new zealand','/education/english as a second language','/science/social science/linguistics/translation','','','',Quality
'/art and entertainment/visual art and design/architecture','/technology and computing/software','/technology and computing/programming languages/java',Being,Metaphysics,'Web Ontology Language',Metadata
'/hobbies and interests/guitar','/law, govt and politics/legal issues/legislation','/art and entertainment/music/singing',ISO,'','','Methods and Protocols, Units, Measures'
'/science/computer science/artificial intelligence','/art and entertainment/shows and events/conference','/technology and computing','Semantic Web','Web Ontology Language','','Social organization'
'/technology and computing/networking/network monitoring and management','/technology and computing/data centers','/travel/vacation rentals','','','','Archives, Catalogs, Classification systems'
'/art and entertainment/books and literature','/science/social science/history/medieval history','',Italy,Philosophy,Plato,'Archives, Catalogs, Classification systems'
'/technology and computing/software/databases','/technology and computing/internet technology/email','','','','',Protocols
/sports/baseball,'','','','','','Semantic Publishing and Referencing Ontologies'
/science/weather,'/home and garden/pest control','/technology and computing',Ontology,Concept,'','Sustainability and environmental management'
'/food and drink/beverages','/food and drink/beverages/non alcoholic beverages/soft drinks','','Alcoholic beverage',Drink,Beverages,Food
'/technology and computing/software','/technology and computing','/business and industrial','Semantic Web',Internet,Language,Protocols
'/art and entertainment/books and literature','/technology and computing/software/databases','/art and entertainment/visual art and design/drawing',Being,Semantics,Reference,'Tagging vocabularies'
'/technology and computing/software/databases','/technology and computing','','Resource Description Framework','World Wide Web',Mathematics,Protocols
'/art and entertainment/visual art and design/design','/business and industrial/business operations/management/project management','/education/english as a second language','Semantic Web','Web Ontology Language','Resource Description Framework','Social organization'
'/law, govt and politics/government','/technology and computing/programming languages/java','/society/social institution/marriage','','','','The Government'
'/technology and computing/software/databases',/shopping/resources/coupons,'/style and fashion/fashion designers','Resource Description Framework','','','Vocabularies, Languages and Terminologies'
'/art and entertainment/books and literature/reference books','/health and fitness/disease/cancer','/travel/tourist destinations/italy','Enrico Celio','2009 albums','F.C. Internazionale Milano','Social organization'
'/technology and computing/software/databases','/technology and computing/software','/business and industrial',Java,'Greek loanwords','XML schema',Metadata
'/science/social science/history',/science,'/family and parenting/children',Time,Space,Spacetime,Events
'/technology and computing','/business and industrial/business operations/human resources','/science/computer science/artificial intelligence','Semantic Web',Semantics,'Web 2.0','Tagging vocabularies'
'/technology and computing/software/databases','/education/english as a second language','/hobbies and interests/reading',Project,'Data set','Project management',Quality
'/hobbies and interests/reading',/science/mathematics/statistics,'/technology and computing/software/databases',Statistics,'','','Methods and Protocols, Units, Measures'
'/technology and computing/software/databases','/hobbies and interests/arts and crafts/crochet','/technology and computing/software/graphics software/animation','Transitive verb','','','Support vocabularies'
/finance/investing/stocks,'/technology and computing','','Semantic Web',Semantics,Weighting,'Methods and Protocols, Units, Measures'
'/technology and computing/hardware/computer components/chips and processors','/art and entertainment/visual art and design/design','/art and entertainment/dance','Object-oriented programming','Semantic Web',Being,'Social Semantic Desktop'
'/technology and computing/software/databases','/science/biology/zoology/endangered species','/food and drink/food/candy and sweets',Species,'','','Life Sciences'
'/business and industrial/business operations/business plans','/art and entertainment/visual art and design/drawing','/business and industrial/advertising and marketing/marketing',Brainstorming,'','','Social organization'
'/finance/personal finance/financial planning/asset and portfolio management','/business and industrial/business operations/human resources','/technology and computing',Investment,'','',PLM
'/technology and computing/software/databases','/hobbies and interests/reading','/technology and computing','','','','RDF Data'
'/technology and computing/programming languages/java','/food and drink/kosher food','/technology and computing/software/databases',Rhetoric,'','',Metadata
'/technology and computing/software/databases','/technology and computing/programming languages/c and c++','/technology and computing/programming languages/java','Type system','','','RDF Data'
'/technology and computing/software/databases','','','Unified Modeling Language','Entity-relationship model',Mathematics,'FRBR, RDA, FRAD and related vocabularies'
'/hobbies and interests/reading',/society,/science/biology/biotechnology,Science,'','','The Academy'
'/law, govt and politics/legal issues/civil law/copyright','/technology and computing','/business and industrial','Digital rights management','Open Rights Group',Copyright,Multimedia
'/hobbies and interests/inventors and patents','/education/english as a second language','/hobbies and interests/reading',Sociology,Philosophy,'',Quality
'/technology and computing/software/databases','/technology and computing/programming languages/java','','Web Ontology Language','Resource Description Framework','Philosophy of mathematics','Semantic Publishing and Referencing Ontologies'
'/technology and computing/internet technology/web search','/education/english as a second language','/hobbies and interests/reading',Yahoo!,'Web search engine','World Wide Web','General and Upper Ontologies'
'/technology and computing/software/databases','','','','','','RDF Data'
'/hobbies and interests/reading','/real estate/apartments','/law, govt and politics/legal issues/human rights',Metaphysics,'','','Archives, Catalogs, Classification systems'
'/technology and computing/programming languages/java','/technology and computing/consumer electronics/camera and photo equipment/telescopes','/technology and computing/programming languages/visual basic',Object,'Information architecture','','General and Upper Ontologies'
/science/mathematics/geometry,/science/physics/optics,/science/mathematics/algebra,Measurement,'','','Methods and Protocols, Units, Measures'
/science/mathematics/geometry,'/art and entertainment/music','/art and entertainment/books and literature',Mind,Ontology,Metaphysics,'Support vocabularies'
'/home and garden/appliances',/science/mathematics/algebra,'/art and entertainment/visual art and design/design',Concept,Ontology,'Philosophy of language','Methods and Protocols, Units, Measures'
'/technology and computing/software/databases','/art and entertainment/visual art and design','/art and entertainment','Web Ontology Language','','','Image and Video'
'/technology and computing/software/databases','/science/computer science/artificial intelligence','/technology and computing','Semantic Web','','','The Academy'
'','','','','','','General and Upper Ontologies'
'/technology and computing/software/databases','/education/language learning','/education/english as a second language',Website,'World Wide Web',XML,Protocols
'/automotive and vehicles/cars','/technology and computing/internet technology/ecommerce','/technology and computing/enterprise technology/customer relationship management','Semantic Web','The Used','World Wide Web',E-Business
/finance/investing/options,'/health and fitness/disorders','/health and fitness/addiction','Decision making','','','Support vocabularies'
'/food and drink/kosher food','/science/social science/philosophy/ethics','/science/social science/philosophy',Rhetoric,'','',Metadata
'/education/english as a second language','/hobbies and interests/reading','/education/teaching and classroom resources/lesson plans','The Hydra','','','RDF Data'
'/art and entertainment/shows and events/sports event','/technology and computing/consumer electronics/camera and photo equipment/telescopes','/technology and computing/programming languages/visual basic','First-class function','','',Events
'/art and entertainment/visual art and design/art museums and galleries','/home and garden/bed and bath/bedroom/bedding and bed linens','/art and entertainment',Library,Being,Archive,Services
'/education/english as a second language','/hobbies and interests/reading','/education/teaching and classroom resources/lesson plans','','','','Archives, Catalogs, Classification systems'
/science/medicine/genetics,/science/biology,'/finance/personal finance/insurance/life insurance','Nature Publishing Group','Nature Biotechnology','Macmillan Publishers','Press and News'
'/careers/u.s. military','/law, govt and politics/government','/law, govt and politics/government/government agencies','','','','Social organization'
'/technology and computing/software/databases','/business and industrial/company/earnings','/business and industrial/manufacturing',Transformation,'Data migration','','RDF Data'
'/finance/accounting and auditing','/technology and computing/software/databases','/business and industrial/manufacturing',Observation,'Observations and Measurements','Philosophy of science',Geography
'/business and industrial/aerospace and defense/space technology','/science/physics/space and astronomy','/health and fitness/disease/cancer','','','',Geography
'/art and entertainment/books and literature/reference books','/technology and computing/enterprise technology/customer relationship management','/technology and computing/software/databases',Semantics,'','','General and Upper Ontologies'
/science/mathematics/algebra,/science/mathematics/geometry,/science/physics,'The Play',Ontology,Concept,'Music and Sound'
'/technology and computing/software/databases',/science/mathematics/geometry,'/finance/accounting and auditing',Mathematics,Space,Geography,Geometry
'/hobbies and interests/arts and crafts/knitting','/hobbies and interests/arts and crafts/crochet','/technology and computing/software/databases','Bobby Hutcherson','James Spaulding','Joe Chambers','Archives, Catalogs, Classification systems'
'/business and industrial/advertising and marketing/public relations','/technology and computing/programming languages/visual basic','/law, govt and politics','','','',Geometry
'/technology and computing/hardware/computer components/chips and processors',/sports/rugby,'/technology and computing/internet technology/email',XML,'Web syndication',Force,Protocols
'/automotive and vehicles/cars/hybrid','/automotive and vehicles/certified pre-owned','/automotive and vehicles/off-road vehicles','Semantic Web','Web applications',Marketing,E-Business
'/technology and computing/software/databases','/technology and computing/programming languages/java','','Best practice','','',People
'/food and drink/beverages/alcoholic beverages/wine',/pets/birds,'/food and drink','Web Ontology Language','','',Food
'/food and drink/kosher food','/food and drink/desserts and baking','/business and industrial/chemicals industry/plastics and polymers',Isomorphism,'Algebraic structure','','Archives, Catalogs, Classification systems'
'/technology and computing/software/databases','/technology and computing','/technology and computing/programming languages/java',Description,User,'Description logic','W3C Recommendations'
'/technology and computing/software/databases','/shopping/resources/loyalty programs','/technology and computing/networking/vpn and remote access','Network access','','','Archives, Catalogs, Classification systems'
'/technology and computing/programming languages/java','/hobbies and interests/reading',/society,'The Clean','','','Sustainability and environmental management'
'/technology and computing/software/databases','/technology and computing','/technology and computing/software',Distribution,'Mass media','Resource Description Framework',Multimedia
'/technology and computing','','','','','','Archives, Catalogs, Classification systems'
'/technology and computing/computer security/antivirus and malware','/technology and computing/programming languages/java','/art and entertainment/visual art and design/design','Semantic Web','Web Ontology Language','Resource Description Framework',Quality
/science/biology/botany,'/art and entertainment/books and literature',/science,Botany,Biology,Theophrastus,'Life Sciences'
'/technology and computing/software/databases','/travel/tourist destinations/united kingdom','/technology and computing/programming languages/java',Being,'National library','British Museum','Archives, Catalogs, Classification systems'
'/technology and computing/software/databases',/sports/baseball,'/business and industrial',Citation,'','','Semantic Publishing and Referencing Ontologies'
'/business and industrial/business operations/management/business process','/technology and computing','',Workflow,Motif,'Windows Workflow Foundation','Methods and Protocols, Units, Measures'
'/business and industrial/business operations/management/project management','/home and garden/appliances/refrigerators and freezers','/education/english as a second language','','','',Industry
'/technology and computing/programming languages/java','/technology and computing/software/databases','/technology and computing/hardware/computer components/chips and processors',Internet,'Semantic Web',Semantics,Protocols
'/technology and computing',/science,'/business and industrial','Project management','Project management software','','The Academy'
'/technology and computing','/education/english as a second language','/hobbies and interests/reading','The Various','Cloud computing','','Life Sciences'
'/technology and computing/software/databases','/education/language learning','/education/english as a second language',Website,'World Wide Web',XML,'RDF Data'
'/technology and computing/software/databases',/science/mathematics/statistics,'','Data set',Data,'Resource Description Framework',Quality
'/technology and computing/programming languages/visual basic','/technology and computing/internet technology/social network','/technology and computing','Semantic Web','Semantically-Interlinked Online Communities','','Social organization'
'/science/social science/linguistics','/health and fitness/therapy','/science/computer science/artificial intelligence','Semantic Web',Semantics,Language,People
'/education/language learning','/technology and computing/software/databases','/technology and computing/programming languages/java',SQL,'','','RDF Data'
'/technology and computing','/science/social science/linguistics/translation','/science/social science/linguistics','Semantic Web',Semantics,'Web 2.0','Tagging vocabularies'
'/science/computer science/artificial intelligence','/technology and computing','/technology and computing/internet technology/isps','Semantic Web','Web portal','Web 2.0','Social organization'
'/art and entertainment/radio','/technology and computing/enterprise technology/data management','/art and entertainment/movies and tv/documentaries',Metadata,'Data management','',Quality
/sports,/sports/rugby,'',Sport,BBC,'BBC Sport',Events
'/technology and computing/enterprise technology/data management','/technology and computing/software/databases','/business and industrial/business operations/business plans','Resource Description Framework','','',Metadata
/science/physics/optics,'/technology and computing/software/databases','/technology and computing',Lens,'Fresnel lens','Magnifying glass','RDF Data'
'/technology and computing/programming languages/java','/technology and computing/software/databases','/technology and computing/hardware/computer',Reference,Annotation,'Semantic desktop','Social Semantic Desktop'
'/home and garden/home improvement and repair/locks and locksmiths','/art and entertainment/music/musical instruments','/hobbies and interests/reading',Tonic,'','','Music and Sound'
'/education/english as a second language','/hobbies and interests/reading','/business and industrial',Management,Organization,'','Social organization'
'/education/english as a second language','/hobbies and interests/reading','',Vocabulary,'','',Metadata
'/food and drink/beverages/alcoholic beverages/wine',/pets/birds,'/science/biology/zoology/endangered species','Web Ontology Language','','',Food
'/technology and computing/programming languages','/technology and computing/programming languages/javascript','/style and fashion/jewelry/earrings',Linguistics,Language,'Programming language','Vocabularies, Languages and Terminologies'
'/science/social science/linguistics','/technology and computing/software/databases','/business and industrial/business operations/management/business process',Ontology,Existence,Metaphysics,'Vocabularies, Languages and Terminologies'
'/art and entertainment/visual art and design/architecture','/education/english as a second language','/health and fitness/disease/diabetes','Resource Description Framework','Dublin Core','','General and Upper Ontologies'
'/technology and computing/programming languages/java','/hobbies and interests/arts and crafts/crochet','/technology and computing/software/databases',Mathematics,Design,'',Metadata
'/business and industrial/company/annual report','/health and fitness/drugs','/business and industrial/pharmaceutical industry',Quality,Evaluation,'Quality control',Quality
'/law, govt and politics/legal issues/human rights','/law, govt and politics/legal issues/civil rights','/technology and computing/software',Data,'','',Quality
'/education/english as a second language','/hobbies and interests/reading','/technology and computing/internet technology/web search','Search engine optimization','','',Protocols
'/technology and computing/computer security/network security','/technology and computing/software/databases','/technology and computing/computer security','Semantic Web','Access control','Physical security',Protocols
'/technology and computing/programming languages/java','/technology and computing/programming languages','/technology and computing/programming languages/c and c++',Syntax,'Resource Description Framework','','RDF Data'
'/technology and computing/software/databases','/business and industrial/company/merger and acquisition','','Means of production','Technical communication','',PLM
'/education/english as a second language','/science/social science/history','/hobbies and interests/reading',Prehistory,Science,'',People
'/travel/tourist facilities/bed and breakfast',/travel/hotels,'','','','',E-Business
/science/mathematics/geometry,'/technology and computing/software/databases','/technology and computing/programming languages/java',Surveying,'Ordnance Survey',Geometry,Geometry
'/art and entertainment/shows and events/conference','/technology and computing','/technology and computing/enterprise technology/data management','Dublin Core','Resource Description Framework',Metadata,Metadata
'/art and entertainment/books and literature/reference books','','',WordNet,Object,Copula,'Vocabularies, Languages and Terminologies'
'/technology and computing/software/databases','/technology and computing','/health and fitness','Resource Description Framework','','',Metadata
/science/mathematics/geometry,'/technology and computing/programming languages/visual basic','/technology and computing/programming languages/c and c++','Units of measurement',Measurement,Set,'Methods and Protocols, Units, Measures'
'/technology and computing',/science/mathematics/geometry,'/technology and computing/software/databases','Numerical analysis','World Wide Web',Philosophy,'Support vocabularies'
'/business and industrial/business operations/business plans','/education/english as a second language','/hobbies and interests/reading','Call for bids','','',Contracts
'/style and fashion/accessories/ties','','',Concept,Ontology,Idea,'General and Upper Ontologies'
'/art and entertainment/visual art and design/design','/science/computer science','/technology and computing/software/databases','Design pattern','','','Support vocabularies'
'/business and industrial/business operations/management/project management','/business and industrial',/news,Ontology,'','','Social organization'
'/hobbies and interests/arts and crafts/crochet','/science/social science/history',/education,'','','',Events
'/education/english as a second language','/shopping/resources/product reviews','/art and entertainment/movies and tv/movies/reviews',Review,'Book review','',Recommandations
'/technology and computing/software/databases','/technology and computing/programming languages/c and c++',/finance/investing/options,Java,'Abstract data type','Array data structure','General and Upper Ontologies'
'/business and industrial/business operations/management/business process','/law, govt and politics/legal issues/death penalty','/technology and computing/computer security/antivirus and malware','Unified Modeling Language','','','Methods and Protocols, Units, Measures'
'/technology and computing/software/desktop publishing','/technology and computing','/health and fitness/therapy','Natural language processing','Natural language',Linguistics,'Vocabularies, Languages and Terminologies'
'/art and entertainment/visual art and design','/technology and computing/programming languages/java','/technology and computing/software/databases','XML schema','Character encoding',Encoding,'Archives, Catalogs, Classification systems'
/society/welfare,'','',Ontology,Concept,'',Services
'/hobbies and interests/reading','/health and fitness/disease/epilepsy','/technology and computing/software/databases','Das Model','Geographic information system','','Timeline, Calendar'
'/education/english as a second language','/science/social science/history/genealogy','/technology and computing/software/databases',Link,'','',People
'/art and entertainment/music/music reference/music composition and theory','/art and entertainment/music','/hobbies and interests/guitar','Mary I of England','Queen Mary, University of London',Chord,'Music and Sound'
'/finance/personal finance/lending/credit cards','/technology and computing/consumer electronics/telephones/mobile phones','/art and entertainment/visual art and design/design','Access control',Authorization,Authentication,Protocols
'/science/social science/linguistics/translation','/family and parenting/children','/art and entertainment/music','Human physical appearance',Psychology,Mind,People
'/technology and computing/internet technology/web design and html','/family and parenting/children','/law, govt and politics','Web page','World Wide Web','Tim Berners-Lee','W3C Recommendations'
'/education/english as a second language','/hobbies and interests/reading','/technology and computing/enterprise technology/data management','Data management','Quality assurance','Data quality',Quality
'/education/english as a second language',/society,'/business and industrial/advertising and marketing/public relations','','','',People
'/education/english as a second language','/hobbies and interests/reading',/society,'Constraint satisfaction','Constraint satisfaction problem',Constraint,Industry
'/technology and computing/programming languages/java','/technology and computing','/technology and computing/software','Web service',Internet,'Semantic Web',Protocols
'/business and industrial/business operations/management/project management','/technology and computing/software/databases','','Units of measurement','','','Methods and Protocols, Units, Measures'
'/technology and computing/internet technology/web search','/education/english as a second language','/business and industrial','','','','Methods and Protocols, Units, Measures'
'/science/social science/linguistics','/art and entertainment/books and literature','/business and industrial','Semantic Web',Writing,'','Semantic Publishing and Referencing Ontologies'
'/art and entertainment/books and literature','/hobbies and interests/collecting/stamps and coins','/science/social science/history','Concepts in metaphysics','','','Timeline, Calendar'
'/technology and computing/software/databases','/law, govt and politics/legal issues/human rights','/law, govt and politics/legal issues/civil rights',Copyright,Law,Trademark,Contracts
